"guideline anchor","guideline url",mirror_file,timestamp
"ACG clinical guideline: management of patients with acute lower gastrointestinal bleeding.",https://www.guideline.gov/summaries/summary/51048/acg-clinical-guideline-management-of-patients-with-acute-lower-gastrointestinal-bleeding,./acg-clinical-guideline-management-of-patients-with-acute-lower-gastrointestinal-bleeding,20180712205110
"Cumulative trauma conditions medical treatment guidelines.",https://www.guideline.gov/summaries/summary/51068/cumulative-trauma-conditions-medical-treatment-guidelines,./cumulative-trauma-conditions-medical-treatment-guidelines,20180614224022
"ACR Appropriateness Criteria® acute trauma to the knee.",https://www.guideline.gov/summaries/summary/49076/acr-appropriateness-criteria--acute-trauma-to-the-knee,./acr-appropriateness-criteria--acute-trauma-to-the-knee,20180712212110
"Melanoma: assessment and management.",https://www.guideline.gov/summaries/summary/49531/melanoma-assessment-and-management,./melanoma-assessment-and-management,20180713051711
"2015 recommendations for the management of polymyalgia rheumatica: a European League Against Rheumatism/American College of Rheumatology collaborative initiative.",https://www.guideline.gov/summaries/summary/50570/2015-recommendations-for-the-management-of-polymyalgia-rheumatica-a-european-league-against-rheumatismamerican-college-of-rheumatology-collaborative-initiative,./2015-recommendations-for-the-management-of-polymyalgia-rheumatica-a-european-league-against-rheumatismamerican-college-of-rheumatology-collaborative-initiative,20180712204223
"Final recommendation statement: breastfeeding: primary care interventions.",https://www.guideline.gov/summaries/summary/50527/final-recommendation-statement-breastfeeding-primary-care-interventions,./final-recommendation-statement-breastfeeding-primary-care-interventions,20180713031044
"Occupational therapy practice guidelines for adults with neurodegenerative diseases.",https://www.guideline.gov/summaries/summary/48512/occupational-therapy-practice-guidelines-for-adults-with-neurodegenerative-diseases,./occupational-therapy-practice-guidelines-for-adults-with-neurodegenerative-diseases,20180712210301
"American College of Gastroenterology guideline: management of acute pancreatitis.",https://www.guideline.gov/summaries/summary/47155/american-college-of-gastroenterology-guideline-management-of-acute-pancreatitis,./american-college-of-gastroenterology-guideline-management-of-acute-pancreatitis,20180712205112
"Gene expression profiling and expanded immunohistochemistry tests for guiding adjuvant chemotherapy decisions in early breast cancer management: MammaPrint, Oncotype DX, IHC4 and Mammostrat.",https://www.guideline.gov/summaries/summary/48535/gene-expression-profiling-and-expanded-immunohistochemistry-tests-for-guiding-adjuvant-chemotherapy-decisions-in-early-breast-cancer-management-mammaprint-oncotype-dx-ihc4-and-mammostrat,./gene-expression-profiling-and-expanded-immunohistochemistry-tests-for-guiding-adjuvant-chemotherapy-decisions-in-early-breast-cancer-management-mammaprint-oncotype-dx-ihc4-and-mammostrat,20180713031048
"Monitoring modalities and assessment of fluid status: a practice management guideline from the Eastern Association for the Surgery of Trauma.",https://www.guideline.gov/summaries/summary/51234/monitoring-modalities-and-assessment-of-fluid-status-a-practice-management-guideline-from-the-eastern-association-for-the-surgery-of-trauma,./monitoring-modalities-and-assessment-of-fluid-status-a-practice-management-guideline-from-the-eastern-association-for-the-surgery-of-trauma,20180712210422
"Australian guidelines for the treatment of acute stress disorder & posttraumatic stress disorder.",https://www.guideline.gov/summaries/summary/49219/australian-guidelines-for-the-treatment-of-acute-stress-disorder---posttraumatic-stress-disorder,./australian-guidelines-for-the-treatment-of-acute-stress-disorder---posttraumatic-stress-disorder,20180712204944
"ACR Appropriateness Criteria® chronic back pain: suspected sacroiliitis/spondyloarthropathy.",https://www.guideline.gov/summaries/summary/50427/acr-appropriateness-criteria--chronic-back-pain-suspected-sacroiliitisspondyloarthropathy,./acr-appropriateness-criteria--chronic-back-pain-suspected-sacroiliitisspondyloarthropathy,20180713044025
"ACR Appropriateness Criteria® first trimester vaginal bleeding.",https://www.guideline.gov/summaries/summary/51260/acr-appropriateness-criteria--first-trimester-vaginal-bleeding,./acr-appropriateness-criteria--first-trimester-vaginal-bleeding,20180713030508
"Older people with social care needs and multiple long-term conditions.",https://www.guideline.gov/summaries/summary/49929/older-people-with-social-care-needs-and-multiple-longterm-conditions,./older-people-with-social-care-needs-and-multiple-longterm-conditions,20180713041034
"Oral health for adults in care homes.",https://www.guideline.gov/summaries/summary/50450/oral-health-for-adults-in-care-homes,./oral-health-for-adults-in-care-homes,20180713024955
"VA/DoD clinical practice guideline for the management of upper extremity amputation rehabilitation.",https://www.guideline.gov/summaries/summary/48529/vadod-clinical-practice-guideline-for-the-management-of-upper-extremity-amputation-rehabilitation,./vadod-clinical-practice-guideline-for-the-management-of-upper-extremity-amputation-rehabilitation,20180712205407
"Occupational therapy practice guidelines for adults with traumatic brain injury.",https://www.guideline.gov/summaries/summary/50401/occupational-therapy-practice-guidelines-for-adults-with-traumatic-brain-injury,./occupational-therapy-practice-guidelines-for-adults-with-traumatic-brain-injury,20180712210246
"Screening for prostate cancer: a guidance statement from the Clinical Guidelines Committee of the American College of Physicians.",https://www.guideline.gov/summaries/summary/45309/screening-for-prostate-cancer-a-guidance-statement-from-the-clinical-guidelines-committee-of-the-american-college-of-physicians,./screening-for-prostate-cancer-a-guidance-statement-from-the-clinical-guidelines-committee-of-the-american-college-of-physicians,20180712210816
"Symptom management in patients with lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines.",https://www.guideline.gov/summaries/summary/46179/symptom-management-in-patients-with-lung-cancer-diagnosis-and-management-of-lung-cancer-3rd-ed-american-college-of-chest-physicians-evidencebased-clinical-practice-guidelines,./symptom-management-in-patients-with-lung-cancer-diagnosis-and-management-of-lung-cancer-3rd-ed-american-college-of-chest-physicians-evidencebased-clinical-practice-guidelines,20180713035247
"ACR Appropriateness Criteria® cranial neuropathy.",https://www.guideline.gov/summaries/summary/51005/acr-appropriateness-criteria--cranial-neuropathy,./acr-appropriateness-criteria--cranial-neuropathy,20180713042756
"ACR Appropriateness Criteria® chronic liver disease.",https://www.guideline.gov/summaries/summary/51254/acr-appropriateness-criteria--chronic-liver-disease,./acr-appropriateness-criteria--chronic-liver-disease,20180713052258
"Pneumonia in adults: diagnosis and management.",https://www.guideline.gov/summaries/summary/50009/pneumonia-in-adults-diagnosis-and-management,./pneumonia-in-adults-diagnosis-and-management,20180712202148
"Clinical practice guidelines from the Cystic Fibrosis Foundation for preschoolers with cystic fibrosis.",https://www.guideline.gov/summaries/summary/50221/clinical-practice-guidelines-from-the-cystic-fibrosis-foundation-for-preschoolers-with-cystic-fibrosis,./clinical-practice-guidelines-from-the-cystic-fibrosis-foundation-for-preschoolers-with-cystic-fibrosis,20180712204209
"Topical fluoride for caries prevention.",https://www.guideline.gov/summaries/summary/47553/topical-fluoride-for-caries-prevention,./topical-fluoride-for-caries-prevention,20180712205334
"Colistimethate sodium and tobramycin dry powders for inhalation for treating pseudomonas lung infection in cystic fibrosis.",https://www.guideline.gov/summaries/summary/44058/colistimethate-sodium-and-tobramycin-dry-powders-for-inhalation-for-treating-pseudomonas-lung-infection-in-cystic-fibrosis,./colistimethate-sodium-and-tobramycin-dry-powders-for-inhalation-for-treating-pseudomonas-lung-infection-in-cystic-fibrosis,20180713022444
"Evidence-based guideline update: intraoperative spinal monitoring with somatosensory and transcranial electrical motor evoked potentials. Report of the Therapeutics and Technology Assessment Subcommittee of the American Academy of Neurology and the American Clinical Neurophysiology Society.",https://www.guideline.gov/summaries/summary/36896/evidencebased-guideline-update-intraoperative-spinal-monitoring-with-somatosensory-and-transcranial-electrical-motor-evoked-potentials-report-of-the-therapeutics-and-technology-assessment-subcommittee-of-the-american-academy-of-neurology-and-the-american-clini,./evidencebased-guideline-update-intraoperative-spinal-monitoring-with-somatosensory-and-transcranial-electrical-motor-evoked-potentials-report-of-the-therapeutics-and-technology-assessment-subcommittee-of-the-american-academy-of-neurology-and-the-american,20180712203502
"Guideline for hand hygiene.",https://www.guideline.gov/summaries/summary/50613/guideline-for-hand-hygiene,./guideline-for-hand-hygiene,20180712205516
"Guidelines for the prevention, care and treatment of persons with chronic hepatitis B infection.",https://www.guideline.gov/summaries/summary/50072/guidelines-for-the-prevention-care-and-treatment-of-persons-with-chronic-hepatitis-b-infection,./guidelines-for-the-prevention-care-and-treatment-of-persons-with-chronic-hepatitis-b-infection,20180712204938
"ACR Appropriateness Criteria® pretreatment planning of invasive cancer of the cervix.",https://www.guideline.gov/summaries/summary/49923/acr-appropriateness-criteria--pretreatment-planning-of-invasive-cancer-of-the-cervix,./acr-appropriateness-criteria--pretreatment-planning-of-invasive-cancer-of-the-cervix,20180713044037
"ACR Appropriateness Criteria® advanced stage endometrial cancer.",https://www.guideline.gov/summaries/summary/48300/acr-appropriateness-criteria--advanced-stage-endometrial-cancer,./acr-appropriateness-criteria--advanced-stage-endometrial-cancer,20180713042544
"Evidence-based guideline: assessment and management of psychiatric disorders in individuals with MS. Report of the Guideline Development Subcommittee of the American Academy of Neurology.",https://www.guideline.gov/summaries/summary/47759/evidencebased-guideline-assessment-and-management-of-psychiatric-disorders-in-individuals-with-ms-report-of-the-guideline-development-subcommittee-of-the-american-academy-of-neurology,./evidencebased-guideline-assessment-and-management-of-psychiatric-disorders-in-individuals-with-ms-report-of-the-guideline-development-subcommittee-of-the-american-academy-of-neurology,20180713033519
"The role of imaging in the management of adults with diffuse low grade glioma: a systematic review and evidence-based clinical practice guideline.",https://www.guideline.gov/summaries/summary/50115/the-role-of-imaging-in-the-management-of-adults-with-diffuse-low-grade-glioma-a-systematic-review-and-evidencebased-clinical-practice-guideline,./the-role-of-imaging-in-the-management-of-adults-with-diffuse-low-grade-glioma-a-systematic-review-and-evidencebased-clinical-practice-guideline,20180713052253
"Radiographic assessment. In: Guidelines for the management of acute cervical spine and spinal cord injuries.",https://www.guideline.gov/summaries/summary/44264/radiographic-assessment-in-guidelines-for-the-management-of-acute-cervical-spine-and-spinal-cord-injuries,./radiographic-assessment-in-guidelines-for-the-management-of-acute-cervical-spine-and-spinal-cord-injuries,20180712192339
"Systemic therapy for unresectable stage III or metastatic cutaneous melanoma.",https://www.guideline.gov/summaries/summary/49966/systemic-therapy-for-unresectable-stage-iii-or-metastatic-cutaneous-melanoma,./systemic-therapy-for-unresectable-stage-iii-or-metastatic-cutaneous-melanoma,20180713024956
"Prenatal care.",https://www.guideline.gov/summaries/summary/47802/prenatal-care,./prenatal-care,20180712210657
"Cervical spine injury medical treatment guidelines.",https://www.guideline.gov/summaries/summary/49019/cervical-spine-injury-medical-treatment-guidelines,./Cervical-spine-injury-medical-treatment-guidelines,20180713033424
"Antisocial behaviour and conduct disorders in children and young people: recognition, intervention and management.",https://www.guideline.gov/summaries/summary/44087/antisocial-behaviour-and-conduct-disorders-in-children-and-young-people-recognition-intervention-and-management,./antisocial-behaviour-and-conduct-disorders-in-children-and-young-people-recognition-intervention-and-management,20180712210751
"ACR Appropriateness Criteria® acute hip pain—suspected fracture.",https://www.guideline.gov/summaries/summary/47668/acr-appropriateness-criteria--acute-hip-pain-suspected-fracture,./acr-appropriateness-criteria--acute-hip-pain-suspected-fracture,20180712212109
"Prevention of acute exacerbations of COPD: American College of Chest Physicians and Canadian Thoracic Society guideline.",https://www.guideline.gov/summaries/summary/49133/prevention-of-acute-exacerbations-of-copd-american-college-of-chest-physicians-and-canadian-thoracic-society-guideline,./prevention-of-acute-exacerbations-of-copd-american-college-of-chest-physicians-and-canadian-thoracic-society-guideline,20180712211204
"Practice advisory for the prevention of perioperative peripheral neuropathies 2018: an updated report by the American Society of Anesthesiologists Task Force on Prevention of Perioperative Peripheral Neuropathies.",https://www.guideline.gov/summaries/summary/51226/practice-advisory-for-the-prevention-of-perioperative-peripheral-neuropathies-2018-an-updated-report-by-the-american-society-of-anesthesiologists-task-force-on-prevention-of-perioperative-peripheral-neuropathies,./practice-advisory-for-the-prevention-of-perioperative-peripheral-neuropathies-2018-an-updated-report-by-the-american-society-of-anesthesiologists-task-force-on-prevention-of-perioperative-peripheral-neuropathies,20180712211414
"Cystic Fibrosis Foundation pulmonary guidelines. Use of cystic fibrosis transmembrane conductance regulator modulator therapy in patients with cystic fibrosis.",https://www.guideline.gov/summaries/summary/51297/cystic-fibrosis-foundation-pulmonary-guidelines-use-of-cystic-fibrosis-transmembrane-conductance-regulator-modulator-therapy-in-patients-with-cystic-fibrosis,./cystic-fibrosis-foundation-pulmonary-guidelines-use-of-cystic-fibrosis-transmembrane-conductance-regulator-modulator-therapy-in-patients-with-cystic-fibrosis,20180712204205
"Evaluation and management of blunt traumatic aortic injury: a practice management guideline from the Eastern Association for the Surgery of Trauma.",https://www.guideline.gov/summaries/summary/48996/evaluation-and-management-of-blunt-traumatic-aortic-injury-a-practice-management-guideline-from-the-eastern-association-for-the-surgery-of-trauma,./evaluation-and-management-of-blunt-traumatic-aortic-injury-a-practice-management-guideline-from-the-eastern-association-for-the-surgery-of-trauma,20180712192353
"Person- and family-centred care.",https://www.guideline.gov/summaries/summary/49683/person-and-familycentred-care,./person-and-familycentred-care,20180712205904
"Evidence-based guideline update: vagus nerve stimulation for the treatment of epilepsy. Report of the Guideline Development Subcommittee of the American Academy of Neurology.",https://www.guideline.gov/summaries/summary/47336/evidencebased-guideline-update-vagus-nerve-stimulation-for-the-treatment-of-epilepsy-report-of-the-guideline-development-subcommittee-of-the-american-academy-of-neurology,./evidencebased-guideline-update-vagus-nerve-stimulation-for-the-treatment-of-epilepsy-report-of-the-guideline-development-subcommittee-of-the-american-academy-of-neurology,20180713033627
"End of life care for infants, children and young people with life-limiting conditions: planning and management.",https://www.guideline.gov/summaries/summary/50596/end-of-life-care-for-infants-children-and-young-people-with-lifelimiting-conditions-planning-and-management,./end-of-life-care-for-infants-children-and-young-people-with-lifelimiting-conditions-planning-and-management,20180713033202
"Mental health of adults in contact with the criminal justice system.",https://www.guideline.gov/summaries/summary/50745/mental-health-of-adults-in-contact-with-the-criminal-justice-system,./mental-health-of-adults-in-contact-with-the-criminal-justice-system,20180713034201
"ACR Appropriateness Criteria® suspected liver metastases.",https://www.guideline.gov/summaries/summary/50645/acr-appropriateness-criteria--suspected-liver-metastases,./acr-appropriateness-criteria--suspected-liver-metastases,20180713052244
"Guideline for prevention and management of pressure ulcers (injuries).",https://www.guideline.gov/summaries/summary/50473/guideline-for-prevention-and-management-of-pressure-ulcers-injuries,./guideline-for-prevention-and-management-of-pressure-ulcers-injuries,20180712190238
"American Geriatrics Society abstracted clinical practice guideline for postoperative delirium in older adults.",https://www.guideline.gov/summaries/summary/49932/american-geriatrics-society-abstracted-clinical-practice-guideline-for-postoperative-delirium-in-older-adults,./american-geriatrics-society-abstracted-clinical-practice-guideline-for-postoperative-delirium-in-older-adults,20180712203655
"Ofatumumab in combination with chlorambucil or bendamustine for untreated chronic lymphocytic leukaemia.",https://www.guideline.gov/summaries/summary/49334/ofatumumab-in-combination-with-chlorambucil-or-bendamustine-for-untreated-chronic-lymphocytic-leukaemia,./ofatumumab-in-combination-with-chlorambucil-or-bendamustine-for-untreated-chronic-lymphocytic-leukaemia,20180713052251
"Guidelines for the diagnosis and management of adult myelodysplastic syndromes.",https://www.guideline.gov/summaries/summary/47891/guidelines-for-the-diagnosis-and-management-of-adult-myelodysplastic-syndromes,./guidelines-for-the-diagnosis-and-management-of-adult-myelodysplastic-syndromes,20180712203018
"Brief resolved unexplained events (formerly apparent life-threatening events) and evaluation of lower-risk infants.",https://www.guideline.gov/summaries/summary/50267/brief-resolved-unexplained-events-formerly-apparent-lifethreatening-events-and-evaluation-of-lowerrisk-infants,./brief-resolved-unexplained-events-formerly-apparent-lifethreatening-events-and-evaluation-of-lowerrisk-infants,20180712203506
"Guideline for management of wounds in patients with lower-extremity arterial disease.",https://www.guideline.gov/summaries/summary/49162/guideline-for-management-of-wounds-in-patients-with-lowerextremity-arterial-disease,./guideline-for-management-of-wounds-in-patients-with-lowerextremity-arterial-disease,20180712204158
"Society for Vascular Surgery practice guidelines for atherosclerotic occlusive disease of the lower extremities: management of asymptomatic disease and claudication.",https://www.guideline.gov/summaries/summary/49477/society-for-vascular-surgery-practice-guidelines-for-atherosclerotic-occlusive-disease-of-the-lower-extremities-management-of-asymptomatic-disease-and-claudication,./society-for-vascular-surgery-practice-guidelines-for-atherosclerotic-occlusive-disease-of-the-lower-extremities-management-of-asymptomatic-disease-and-claudication,20180712203813
"Uterine sarcoma.",https://www.guideline.gov/summaries/summary/47854/uterine-sarcoma,./uterine-sarcoma,20180713031054
"Aflibercept for treating diabetic macular oedema.",https://www.guideline.gov/summaries/summary/49494/aflibercept-for-treating-diabetic-macular-oedema,./aflibercept-for-treating-diabetic-macular-oedema,20180713062939
"Central venous catheter care for the patient with cancer: American Society of Clinical Oncology clinical practice guideline.",https://www.guideline.gov/summaries/summary/43898/central-venous-catheter-care-for-the-patient-with-cancer-american-society-of-clinical-oncology-clinical-practice-guideline,./central-venous-catheter-care-for-the-patient-with-cancer-american-society-of-clinical-oncology-clinical-practice-guideline,20180712190244
"The role of neuropathology in the management of patients with diffuse low grade glioma: a systematic review and evidence-based clinical practice guideline.",https://www.guideline.gov/summaries/summary/50118/the-role-of-neuropathology-in-the-management-of-patients-with-diffuse-low-grade-glioma-a-systematic-review-and-evidencebased-clinical-practice-guideline,./the-role-of-neuropathology-in-the-management-of-patients-with-diffuse-low-grade-glioma-a-systematic-review-and-evidencebased-clinical-practice-guideline,20180713051827
"Dietary and pharmacologic management to prevent recurrent nephrolithiasis in adults: a clinical practice guideline from the American College of Physicians.",https://www.guideline.gov/summaries/summary/48787/dietary-and-pharmacologic-management-to-prevent-recurrent-nephrolithiasis-in-adults-a-clinical-practice-guideline-from-the-american-college-of-physicians,./dietary-and-pharmacologic-management-to-prevent-recurrent-nephrolithiasis-in-adults-a-clinical-practice-guideline-from-the-american-college-of-physicians,20180712210821
"Congress of Neurological Surgeons systematic review and evidence-based guideline on surgical techniques and technologies for the management of patients with nonfunctioning pituitary adenomas.",https://www.guideline.gov/summaries/summary/50559/congress-of-neurological-surgeons-systematic-review-and-evidencebased-guideline-on-surgical-techniques-and-technologies-for-the-management-of-patients-with-nonfunctioning-pituitary-adenomas,./congress-of-neurological-surgeons-systematic-review-and-evidencebased-guideline-on-surgical-techniques-and-technologies-for-the-management-of-patients-with-nonfunctioning-pituitary-adenomas,20180713032113
"Evidence-based guideline: diagnostic accuracy of CSF 14-3-3 protein in sporadic Creutzfeldt-Jakob disease. Report of the Guideline Development Subcommittee of the American Academy of Neurology.",https://www.guideline.gov/summaries/summary/38657/evidencebased-guideline-diagnostic-accuracy-of-csf-1433-protein-in-sporadic-creutzfeldtjakob-disease-report-of-the-guideline-development-subcommittee-of-the-american-academy-of-neurology,./evidencebased-guideline-diagnostic-accuracy-of-csf-1433-protein-in-sporadic-creutzfeldtjakob-disease-report-of-the-guideline-development-subcommittee-of-the-american-academy-of-neurology,20180713040005
"Motor neurone disease: assessment and management.",https://www.guideline.gov/summaries/summary/50081/motor-neurone-disease-assessment-and-management,./motor-neurone-disease-assessment-and-management,20180713042552
"Final recommendation statement: colorectal cancer: screening.",https://www.guideline.gov/summaries/summary/50373/final-recommendation-statement-colorectal-cancer-screening,./final-recommendation-statement-colorectal-cancer-screening,20180713032114
"Evidence-based guideline: treatment of painful diabetic neuropathy. Report of the American Academy of Neurology, the American Association of Neuromuscular and Electrodiagnostic Medicine, and the American Academy of Physical Medicine and Rehabilitation.",https://www.guideline.gov/summaries/summary/33038/evidencebased-guideline-treatment-of-painful-diabetic-neuropathy-report-of-the-american-academy-of-neurology-the-american-association-of-neuromuscular-and-electrodiagnostic-medicine-and-the-american-academy-of-physical-medicine-and-rehabilitation,./evidencebased-guideline-treatment-of-painful-diabetic-neuropathy-report-of-the-american-academy-of-neurology-the-american-association-of-neuromuscular-and-electrodiagnostic-medicine-and-the-american-academy-of-physical-medicine-and-rehabilitation,20180712203353
"Physiologic evaluation of the patient with lung cancer being considered for resectional surgery: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines.",https://www.guideline.gov/summaries/summary/46168/physiologic-evaluation-of-the-patient-with-lung-cancer-being-considered-for-resectional-surgery-diagnosis-and-management-of-lung-cancer-3rd-ed-american-college-of-chest-physicians-evidencebased-clinical-practice-guidelines,./physiologic-evaluation-of-the-patient-with-lung-cancer-being-considered-for-resectional-surgery-diagnosis-and-management-of-lung-cancer-3rd-ed-american-college-of-chest-physicians-evidencebased-clinical-practice-guidelines,20180713024700
"The management of depression in patients with cancer.",https://www.guideline.gov/summaries/summary/50227/the-management-of-depression-in-patients-with-cancer,./the-management-of-depression-in-patients-with-cancer,20180713033509
"Imatinib for the adjuvant treatment of gastrointestinal stromal tumours (review of NICE technology appraisal guidance 196).",https://www.guideline.gov/summaries/summary/48876/imatinib-for-the-adjuvant-treatment-of-gastrointestinal-stromal-tumours-review-of-nice-technology-appraisal-guidance-196,./imatinib-for-the-adjuvant-treatment-of-gastrointestinal-stromal-tumours-review-of-nice-technology-appraisal-guidance-196,20180713041632
"American Academy of Orthopaedic Surgeons appropriate use criteria for the management of carpal tunnel syndrome.",https://www.guideline.gov/summaries/summary/51037/american-academy-of-orthopaedic-surgeons-appropriate-use-criteria-for-the-management-of-carpal-tunnel-syndrome,./american-academy-of-orthopaedic-surgeons-appropriate-use-criteria-for-the-management-of-carpal-tunnel-syndrome,20180712205731
"Work-related carpal tunnel syndrome diagnosis and treatment guideline.",https://www.guideline.gov/summaries/summary/47828/workrelated-carpal-tunnel-syndrome-diagnosis-and-treatment-guideline,./workrelated-carpal-tunnel-syndrome-diagnosis-and-treatment-guideline,20180712203259
"Safe midwifery staffing for maternity settings.",https://www.guideline.gov/summaries/summary/49208/safe-midwifery-staffing-for-maternity-settings,./safe-midwifery-staffing-for-maternity-settings,20180713025148
"Final recommendation statement: hormone therapy in postmenopausal women: primary prevention of chronic conditions.",https://www.guideline.gov/summaries/summary/51223/final-recommendation-statement-hormone-therapy-in-postmenopausal-women-primary-prevention-of-chronic-conditions,./final-recommendation-statement-hormone-therapy-in-postmenopausal-women-primary-prevention-of-chronic-conditions,20180713031053
"MASCC/ISOO clinical practice guidelines for the management of mucositis secondary to cancer therapy.",https://www.guideline.gov/summaries/summary/48747/masccisoo-clinical-practice-guidelines-for-the-management-of-mucositis-secondary-to-cancer-therapy,./masccisoo-clinical-practice-guidelines-for-the-management-of-mucositis-secondary-to-cancer-therapy,20180712195856
"Screening for speech and language delay and disorders in children aged 5 years or younger: U.S. Preventive Services Task Force recommendation statement.",https://www.guideline.gov/summaries/summary/49454/screening-for-speech-and-language-delay-and-disorders-in-children-aged-5-years-or-younger-us-preventive-services-task-force-recommendation-statement,./screening-for-speech-and-language-delay-and-disorders-in-children-aged-5-years-or-younger-us-preventive-services-task-force-recommendation-statement,20180713063420
"Recommendations on screening for lung cancer.",https://www.guideline.gov/summaries/summary/50141/recommendations-on-screening-for-lung-cancer,./recommendations-on-screening-for-lung-cancer,20180712210840
"Management of pediatric cervical spine and spinal cord injuries. In: Guidelines for the management of acute cervical spine and spinal cord injuries.",https://www.guideline.gov/summaries/summary/44339/management-of-pediatric-cervical-spine-and-spinal-cord-injuries-in-guidelines-for-the-management-of-acute-cervical-spine-and-spinal-cord-injuries,./management-of-pediatric-cervical-spine-and-spinal-cord-injuries-in-guidelines-for-the-management-of-acute-cervical-spine-and-spinal-cord-injuries,20180712212108
"Occupational therapy practice guidelines for adults with Alzheimer's disease and related major neurocognitive disorders.",https://www.guideline.gov/summaries/summary/51269/occupational-therapy-practice-guidelines-for-adults-with-alzheimers-disease-and-related-major-neurocognitive-disorders,./occupational-therapy-practice-guidelines-for-adults-with-alzheimers-disease-and-related-major-neurocognitive-disorders,20180712210256
"Management of menopausal symptoms.",https://www.guideline.gov/summaries/summary/47751/management-of-menopausal-symptoms,./management-of-menopausal-symptoms,20180712210209
"Systemic therapy for well and moderately differentiated unresectable pancreatic neuroendocrine tumours.",https://www.guideline.gov/summaries/summary/49354/systemic-therapy-for-well-and-moderately-differentiated-unresectable-pancreatic-neuroendocrine-tumours,./systemic-therapy-for-well-and-moderately-differentiated-unresectable-pancreatic-neuroendocrine-tumours,20180713040822
"Venous thromboembolism in adults admitted to hospital: reducing the risk.",https://www.guideline.gov/summaries/summary/49437/venous-thromboembolism-in-adults-admitted-to-hospital-reducing-the-risk,./venous-thromboembolism-in-adults-admitted-to-hospital-reducing-the-risk,20180712190259
"Major trauma: assessment and initial management.",https://www.guideline.gov/summaries/summary/50078/major-trauma-assessment-and-initial-management,./major-trauma-assessment-and-initial-management,20180712212104
"Transition between inpatient mental health settings and community or care home settings.",https://www.guideline.gov/summaries/summary/50476/transition-between-inpatient-mental-health-settings-and-community-or-care-home-settings,./transition-between-inpatient-mental-health-settings-and-community-or-care-home-settings,20180713024433
"ACR Appropriateness Criteria® urinary tract infection—child.",https://www.guideline.gov/summaries/summary/50499/acr-appropriateness-criteria--urinary-tract-infection-child,./acr-appropriateness-criteria--urinary-tract-infection-child,20180713022504
"Final recommendation statement: depression in adults: screening.",https://www.guideline.gov/summaries/summary/49978/final-recommendation-statement-depression-in-adults-screening,./final-recommendation-statement-depression-in-adults-screening,20180713024138
"Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines.",https://www.guideline.gov/summaries/summary/46165/evaluation-of-individuals-with-pulmonary-nodules-when-is-it-lung-cancer-diagnosis-and-management-of-lung-cancer-3rd-ed-american-college-of-chest-physicians-evidencebased-clinical-practice-guidelines,./evaluation-of-individuals-with-pulmonary-nodules-when-is-it-lung-cancer-diagnosis-and-management-of-lung-cancer-3rd-ed-american-college-of-chest-physicians-evidencebased-clinical-practice-guidelines,20180713050645
"Otitis media.",https://www.guideline.gov/summaries/summary/46420/otitis-media,./otitis-media,20180712202157
"Pembrolizumab for advanced melanoma not previously treated with ipilimumab.",https://www.guideline.gov/summaries/summary/49935/pembrolizumab-for-advanced-melanoma-not-previously-treated-with-ipilimumab,./pembrolizumab-for-advanced-melanoma-not-previously-treated-with-ipilimumab,20180713052121
"Cerclage for the management of cervical insufficiency.",https://www.guideline.gov/summaries/summary/47771/cerclage-for-the-management-of-cervical-insufficiency,./cerclage-for-the-management-of-cervical-insufficiency,20180712210212
"Clinical practice guideline on the management of depression in adults.",https://www.guideline.gov/summaries/summary/49474/clinical-practice-guideline-on-the-management-of-depression-in-adults,./clinical-practice-guideline-on-the-management-of-depression-in-adults,20180712204239
"Management of adult patients with ascites due to cirrhosis: update 2012.",https://www.guideline.gov/summaries/summary/45103/management-of-adult-patients-with-ascites-due-to-cirrhosis-update-2012,./management-of-adult-patients-with-ascites-due-to-cirrhosis-update-2012,20180712210104
"Screening for hepatitis C virus infection in adults: U.S. Preventive Services Task Force recommendation statement.",https://www.guideline.gov/summaries/summary/46769/screening-for-hepatitis-c-virus-infection-in-adults-us-preventive-services-task-force-recommendation-statement,./screening-for-hepatitis-c-virus-infection-in-adults-us-preventive-services-task-force-recommendation-statement,20180713022505
"ACR Appropriateness Criteria® hematuria.",https://www.guideline.gov/summaries/summary/49082/acr-appropriateness-criteria--hematuria,./acr-appropriateness-criteria--hematuria,20180713050606
"ACR Appropriateness Criteria® lower urinary tract symptoms: suspicion of benign prostatic hyperplasia.",https://www.guideline.gov/summaries/summary/48292/acr-appropriateness-criteria--lower-urinary-tract-symptoms-suspicion-of-benign-prostatic-hyperplasia,./acr-appropriateness-criteria--lower-urinary-tract-symptoms-suspicion-of-benign-prostatic-hyperplasia,20180713050604
"Clinical practice guideline on perioperative care in major abdominal surgery.",https://www.guideline.gov/summaries/summary/51289/clinical-practice-guideline-on-perioperative-care-in-major-abdominal-surgery,./clinical-practice-guideline-on-perioperative-care-in-major-abdominal-surgery,20180712210622
